"IRISUNC";"COUNT_09";"NEM_SUM_09";"NEM_MEAN_09";"NEM_SD_09";"NEM100_SUM_09";"NEM100_MEAN_09";"NEM100_SD_09";"COUNT_14";"NEM_SUM_14";"NEM_MEAN_14";"NEM_SD_14";"NEM100_SUM_14";"NEM100_MEAN_14";"NEM100_SD_14";"COUNT_19";"NEM_SUM_19";"NEM_MEAN_19";"NEM_SD_19";"NEM100_SUM_19";"NEM100_MEAN_19";"NEM100_SD_19"
"0801";420;22029,2241135154;52,4505336036081;18,3305107411247;41908,4145466585;99,7819393968059;34,8719791052341;413;24396,9970141546;59,0726319955317;15,9692958942538;40565,6192914267;98,2218384780307;26,5526276542397;438;25194,9138618739;57,5226343878399;16,7263566503151;40659,5782053863;92,8300872269093;26,9930117659108
"0803";291;15460,9985515934;53,1305792150976;17,6467952626647;29413,016693944;101,075658742076;33,5712782019424;315;18994,0392408853;60,2985372726518;13,6734364454177;31581,9592142895;100,260187981871;22,7352332308982;322;20108,1256839338;62,44759529172;13,6404399400242;32450,5141510667;100,777994257971;22,0129561679731
"0805";260;11582,5489719486;44,5482652767255;17,4479776342706;22034,6509401386;84,7486574620716;33,1930473778793;256;14332,3212603676;55,9856299233109;16,1770542091005;23830,7807913071;93,0889874660435;26,8980736408833;317;17941,0526999277;56,5963807568698;14,6557097645724;28953,2895146566;91,3352981534908;23,6513996672086
"0807";91;4888,49404167755;53,7197147437093;17,6204088270032;9299,87519087435;102,196430668949;33,5210806244693;95;5278,8277779755;55,5666081892157;18,7601950345141;8777,26540779273;92,3922674504499;31,1931394327542;87;5137,69813142971;59,0540015106864;14,9408587793086;8291,22259023261;95,3014090831334;24,1115734438851
"0808";24;940,70035420533;39,1958480918887;12,5163087355453;1789,58914781018;74,5662144920908;23,811036302517;76;3609,62793120917;47,4951043580154;18,8849649708097;6001,83671605886;78,9715357376165;31,4005981512124;48;2254,72619798681;46,9734624580586;17,5686104141583;3638,6794843346;75,8058225903043;28,3522417663589
"0901";255;12805,769128715;50,2187024655489;17,5074903286533;24361,7059987932;95,5361019560519;33,3062643779029;252;14582,895620813;57,8686334159244;12,6561427853634;24247,418302232;96,219913897746;21,0437485249156;300;16359,7601768325;54,5325339227751;15,1574833153805;26401,3979955641;88,0046599852136;24,4611623455939
"0902";238;11789,5412349872;49,5358875419628;18,59248432867;22428,4331960487;94,2371142691123;35,3703578792913;279;16675,0152158731;59,7670796267851;14,4347328082894;27726,0483547792;99,3765174006422;24,0010635462557;361;19862,0383473346;55,0194968070212;15,1101779588608;32053,3781512111;88,7905211944906;24,3848209120217
"1001";445;23095,2434673425;51,8994235221179;19,825732615796;43936,4106651209;98,7335071126312;37,7164904616062;460;27787,5351898642;60,407685195357;15,3543191777471;46203,1688943179;100,441671509387;25,5300874071581;452;28544,3129382364;63,1511348191072;14,7043336331055;46064,8419198415;101,913367079295;23,7298689168401
"1004";71;2505,92496158984;35,2947177688709;13,7971039962999;4767,27376197941;67,1447008729495;26,2476222875934;80;4396,50625499776;54,956328187472;13,8008928055725;7310,20292575935;91,3775365719919;22,9471587469489;57;3148,66730007971;55,2397771943809;15,1054606808655;5081,32256503026;89,1460099128116;24,3772081638844
"1006";19;936,608316202259;49,295174536961;18,9183586480635;1781,80445125937;93,7791816452303;35,99030145955;20;1151,94148615775;57,5970743078876;17,0720726295227;1915,3676883415;95,7683844170748;28,3862476354368;31;1634,04854352473;52,7112433395076;18,8893619498779;2637,02923975387;85,065459346899;30,483671968934
"1101";632;42772,6883510012;67,6783043528501;15,1406804486714;81370,7984199513;128,751263322708;28,8036432645903;875;64048,4565272668;73,198236031162;11,7548365154356;106495,291292662;121,708904334471;19,5451195342389;1023;74864,4182075372;73,1812494697333;11,5626882207406;120816,275999116;118,099976538725;18,6598782815103
"1102";228;15623,6413021965;68,5247425534936;14,8228229622927;29722,4283999652;130,361528070023;28,1989509142254;547;38943,7602053303;71,1951740499639;12,6232664535081;64752,9591182672;118,378353049849;20,9890840610487;669;49244,9767596839;73,6098307319639;11,2365308023559;79471,5947337585;118,791621425648;18,133525100357
"1103";164;7574,1412595416;46,1837881679366;16,9291556569694;14409,052724879;87,8600775907258;32,2060400103653;192;10039,3661761792;52,2883655009331;16,0246220080172;16692,7555056809;86,9414349254214;26,644620044389;187;11291,9231148569;60,3846155874702;12,9741821349223;18222,9172719063;97,4487554647398;20,937748628864
"1105";2;62,3296223046869;31,1648111523434;38,2584098220996;118,575926079887;59,2879630399436;72,7828311364271;11;358,712473343925;32,6102248494477;13,1769208421532;596,441997361942;54,2219997601765;21,9096618328038;20;1044,85653690318;52,2428268451589;10,990524386417;1686,19056641871;84,3095283209356;17,7365196903472
"1107";360;14613,3149320602;40,5925414779449;17,0431235069913;27800,382660682;77,2232851685612;32,4228525444382;516;27645,0768198123;53,5757302709542;16,5235067529162;45966,2990860768;89,081974973017;27,4741306853967;548;32652,7777187958;59,5853608007223;13,8006862101981;52695,086657531;96,1589172582683;22,2715617655146
"1108";42;1059,24779368776;25,2201855639943;16,1697853554767;2015,11389673797;47,9789023032851;30,7614133078819;81;2940,74920215135;36,3055457055722;17,6613316523745;4889,67197466258;60,3663206748466;29,3660263012774;61;3362,24317823556;55,1187406268124;15,7763083925027;5425,99153942206;88,9506809741321;25,459822898936
"1201";805;55694,8781958886;69,1861840942716;15,0618958650639;105953,983287452;131,619855015469;28,6537634062396;896;64909,7706953927;72,4439405082508;13,0853186900363;107927,424215178;120,454714525869;21,7573521847397;868;63891,0749202872;73,6072291708377;13,5651658720192;103107,483184481;118,787423023596;21,8914787987046
"1202";195;10252,3996593886;52,5764085096853;16,5264838209273;19504,1737652518;100,021403924368;31,4399967696158;211;12468,5672832721;59,0927359396784;13,5250368716886;20731,8611068938;98,2552659094492;22,4884848049583;189;11255,6140204807;59,5535133358766;14,6667843964502;18164,3216176227;96,1075217863633;23,6692719196561
"1203";171;9108,50179972207;53,2660923960355;18,3304229881547;17328,0215115494;101,333459131868;34,8718121639101;200;11724,6413820973;58,6232069104866;17,7057361785903;19494,9131796312;97,4745658981562;29,4398590399639;235;14944,6193888262;63,5941250588347;16,4240306313698;24117,6423194374;102,628265189095;26,5051177219691
"1206";13;467,641695246698;35,9724380958999;14,9908630789736;889,641955736285;68,4339965950989;28,5186305740284;3;90,5975901713738;30,1991967237913;17,6894442916111;150,63933276216;50,2131109207199;29,4127700304291;3;185,983557952382;61,9945193174607;17,43748189954;300,140459337869;100,04681977929;28,1406264330297
"1301";880;56703,0521391375;64,4352865217472;16,9591426903915;107871,934248008;122,581743463646;32,2630873680573;1033;71759,3515891449;69,4669424870715;14,7844075085242;119316,427979887;115,504770551681;24,5824781669706;1092;76579,1488080665;70,1274256484126;14,8481400379185;123583,510026413;113,1717124784;23,9619438425566
"1303";182;9218,51131975868;50,6511610975752;22,1462696187571;17537,3037153173;96,3588116226225;42,131082014619;179;9850,64289507675;55,0315245535014;20,4507816205257;16378,9596410428;91,502567827055;34,0041284978244;170;9937,0727138409;58,4533689049465;19,7402782658969;16036,4582850363;94,3321075590372;31,8568816050965
"1401";341;17841,8424981298;52,3221187628441;16,9825363766048;33942,336227315;99,5376428953519;32,3075915364541;478;26969,8007335446;56,4221772668297;14,4111337733547;44843,4972668099;93,8148478385144;23,9618247224672;505;28346,3047771345;56,1312965883851;13,8899245770649;45745,2961434294;90,584744838474;22,415574734816
"1402";816;43286,7229794514;53,0474546316807;17,0391740233826;82348,6983309704;100,917522464425;32,4153390434875;922;53799,678186075;58,3510609393438;15,2445909301893;89454,3398940206;97,022060622582;25,3476389560899;1027;59648,2452224552;58,0800829819427;14,8918927384686;96260,4002034915;93,729698348093;24,0325519962287
"1403";948;49333,3581350742;52,0394073154791;17,4545706903905;93851,8221545084;98,9998123992705;33,2055900134064;1044;61888,6571490116;59,2803229396663;15,2781232811756;102904,128032965;98,5671724453691;25,4033942026585;1163;67456,2692555043;58,0019512085162;16,0704754169738;108860,997512209;93,6036092108418;25,9345499491057
"1501";549;27242,1420674013;49,6213881009132;16,9434000120344;51825,4740619384;94,3997706046237;32,2331384834635;612;35309,4947978614;57,6952529376821;15,4838583556213;58710,1569308567;95,931628971988;25,7454760867533;642;36792,2783278868;57,3088447474872;14,5138874240966;59375,4170475973;92,4850732828618;23,4225266265839
"1502";191;7453,16330136563;39,0217973893489;15,8707612118459;14178,9041551372;74,2351002886766;30,1925495246563;222;11281,0652835703;50,8156093854519;15,3236199802678;18757,365885217;84,492639122599;25,479042929972;269;14172,3907078423;52,6854673153989;15,9809454215017;22871,4188705683;85,0238619723727;25,7900663492576
"1503";459;20113,1685715759;43,819539371625;19,0364793576514;38263,3088664835;83,3623286851491;36,2150143971662;575;27907,5587471253;48,5348847776092;16,4688377399232;46402,7356658771;80,7004098536993;27,3832308764232;626;33236,6341994705;53,0936648553842;15,1451449650837;53637,3148535416;85,6826115871271;24,441250703047
"1601";240;14106,3363223441;58,7764013431003;19,474484237277;26835,9061256581;111,816275523575;37,0482752498508;248;15590,8965692521;62,8665184244037;18,4157796875225;25923,4517376608;104,530047329277;30,6204696965535;268;17948,9157796728;66,9735663420626;15,4292504379516;28965,9789609306;108,082011048248;24,8997404107705
"1901";198;11798,0302255366;59,5860112400839;16,752645050419;22444,5826588349;113,356478074924;31,8702460834854;254;16560,9545321526;65,2006083943017;15,1493759327339;27536,3962320512;108,411008787603;25,18932212163;275;17944,7595942864;65,2536712519505;15,4127301275063;28959,2717046295;105,306442562289;24,8730799165846
"1902";53;2563,14480987059;48,361222827747;15,3245470356942;4876,12884964342;92,0024311253475;29,1534312149296;67;3466,22773179556;51,7347422656054;17,8911744536245;5763,40089986589;86,0209089532223;29,7481928264023;69;4113,56399009978;59,6168694217359;14,561021833824;6638,47384735146;96,2097659036444;23,4985921860449
