"";"ELEC";"EAU";"BATI";"BAIN";"WC";"MAL";"REFRI";"CLIM";"CHOS";"TFIXE";"INTER";"VOIT";"BATO";"DEROU";"NEM";"NEM100";"COUNT"
"Ponérihouen";0,874324324324324;0,945945945945946;0,925675675675676;0,894594594594595;0,845945945945946;0,594594594594595;0,831081081081081;0,0324324324324324;0,0810810810810811;0,127027027027027;0,32972972972973;0,727027027027027;0,502702702702703;0,485135135135135;58,5584999307201;83,7628725517154;740
"Pouébo";0,934453781512605;0,971428571428571;0,922689075630252;0,951260504201681;0,907563025210084;0,601680672268908;0,86218487394958;0,0302521008403361;0,0403361344537815;0,0873949579831933;0,0873949579831933;0,690756302521008;0,534453781512605;0,460504201680672;57,9101193128436;82,8354201216763;595
"Pouembout";0,939139559286464;0,9800629590766;0,993704092339979;0,991605456453305;0,995802728226653;0,922350472193075;0,9601259181532;0,502623294858342;0,44700944386149;0,479538300104932;0,688352570828961;0,756558237145855;0,190975865687303;0,158447009443862;71,4543647394703;102,209292485584;953
"Poum";0,792291220556745;0,67237687366167;0,927194860813705;0,841541755888651;0,762312633832976;0,490364025695931;0,691648822269807;0,0877944325481799;0,0706638115631692;0,173447537473233;0,182012847965739;0,610278372591006;0,494646680942184;0,312633832976445;50,8801875153725;72,7797103289822;467
"Poya";0,864523536165327;0,927669345579793;0,974741676234214;0,960964408725603;0,956371986222732;0,769230769230769;0,882893226176808;0,261768082663605;0,130884041331803;0,290470723306544;0,392652123995408;0,729047072330654;0,355912743972445;0,281285878300804;62,6959513611647;89,681139195623;871
"Sarraméa";0,933673469387755;0,969387755102041;0,989795918367347;0,989795918367347;0,989795918367347;0,714285714285714;0,892857142857143;0,122448979591837;0,153061224489796;0,280612244897959;0,311224489795918;0,744897959183674;0,341836734693878;0,295918367346939;62,2028982220365;88,9758692979501;196
"Thio";0,866666666666667;0,92962962962963;0,959259259259259;0,960493827160494;0,904938271604938;0,671604938271605;0,824691358024691;0,0987654320987654;0,0950617283950617;0,17037037037037;0,171604938271605;0,620987654320988;0,360493827160494;0,276543209876543;56,5531437833779;80,8943839191624;810
"Touho";0,901933701657459;0,993093922651934;0,975138121546961;0,943370165745856;0,864640883977901;0,649171270718232;0,846685082872928;0,0842541436464088;0,103591160220994;0,197513812154696;0,552486187845304;0,708563535911602;0,447513812154696;0,392265193370166;61,6941487377965;88,2481471353339;724
"Voh";0,897550111358575;0,973273942093541;0,965478841870824;0,963251670378619;0,919821826280624;0,824053452115813;0,919821826280624;0,267260579064588;0,209354120267261;0,251670378619154;0,544543429844098;0,724944320712695;0,308463251670379;0,233853006681514;64,2384220295909;91,8875101608457;898
"Yaté";0,741721854304636;0,964679911699779;0,969094922737307;0,960264900662252;0,938189845474614;0,838852097130243;0,896247240618102;0,0264900662251656;0,0618101545253863;0,143487858719647;0,103752759381898;0,620309050772627;0,322295805739514;0,260485651214128;55,7846304447026;79,7950920158877;453
"Kouaoua";0,8;0,97037037037037;0,980246913580247;0,967901234567901;0,930864197530864;0,730864197530864;0,841975308641975;0,155555555555556;0,037037037037037;0,172839506172839;0,281481481481481;0,688888888888889;0,28641975308642;0,251851851851852;57,8898852301619;82,806477015366;405
