"";"ELEC";"EAU";"BATI";"BAIN";"WC";"MAL";"REFRI";"CLIM";"CHOS";"TFIXE";"INTER";"VOIT";"BATO";"DEROU";"NEM";"NEM100";"COUNT"
"Ponérihouen";0,874324324324324;0,945945945945946;0,925675675675676;0,894594594594595;0,845945945945946;0,594594594594595;0,831081081081081;0,0324324324324324;0,0810810810810811;0,127027027027027;0,32972972972973;0,0418918918918919;0,0027027027027027;0;46,7797641510012;76,3646502326467;740
"Pouébo";0,934453781512605;0,971428571428571;0,922689075630252;0,951260504201681;0,907563025210084;0,601680672268908;0,86218487394958;0,0302521008403361;0,0403361344537815;0,0873949579831933;0,0873949579831933;0,0302521008403361;0,0134453781512605;0;45,9951070959033;75,0837531898204;595
"Pouembout";0,939139559286464;0,9800629590766;0,993704092339979;0,991605456453305;0,995802728226653;0,922350472193075;0,9601259181532;0,502623294858342;0,44700944386149;0,479538300104932;0,688352570828961;0,0849947534102833;0,00104931794333683;0,00209863588667366;64,3115423741118;104,984035906388;953
"Poum";0,793991416309013;0,67381974248927;0,927038626609442;0,843347639484979;0,763948497854077;0,491416309012876;0,6931330472103;0,0879828326180258;0,0708154506437768;0,17381974248927;0,182403433476395;0,0772532188841202;0,0278969957081545;0;41,506796250354;67,7569037694299;466
"Poya";0,864523536165327;0,927669345579793;0,974741676234214;0,960964408725603;0,956371986222732;0,769230769230769;0,882893226176808;0,261768082663605;0,130884041331803;0,290470723306544;0,392652123995408;0,0734787600459242;0,0034443168771527;0;53,3132871934877;87,0301636438711;871
"Sarraméa";0,933673469387755;0,969387755102041;0,989795918367347;0,989795918367347;0,989795918367347;0,714285714285714;0,892857142857143;0,122448979591837;0,153061224489796;0,280612244897959;0,311224489795918;0,0918367346938776;0;0;53,2934146881576;86,9977231870556;196
"Thio";0,866666666666667;0,92962962962963;0,959259259259259;0,960493827160494;0,904938271604938;0,671604938271605;0,824691358024691;0,0987654320987654;0,0950617283950617;0,17037037037037;0,171604938271605;0,0567901234567901;0,00617283950617284;0,00246913580246914;47,9131102299624;78,214757399349;810
"Touho";0,901933701657459;0,993093922651934;0,975138121546961;0,943370165745856;0,864640883977901;0,649171270718232;0,846685082872928;0,0842541436464088;0,103591160220994;0,197513812154696;0,552486187845304;0,0414364640883978;0,0069060773480663;0;51,0289182130974;83,3010931503407;724
"Voh";0,897550111358575;0,973273942093541;0,965478841870824;0,963251670378619;0,919821826280624;0,824053452115813;0,919821826280624;0,267260579064588;0,209354120267261;0,251670378619154;0,544543429844098;0,0857461024498886;0,0044543429844098;0;55,7348758767005;90,9832355790771;898
"Yaté";0,741721854304636;0,964679911699779;0,969094922737307;0,960264900662252;0,938189845474614;0,838852097130243;0,896247240618102;0,0264900662251656;0,0618101545253863;0,143487858719647;0,103752759381898;0,022075055187638;0;0;47,6040171781803;77,7101848941845;453
"Kouaoua";0,8;0,97037037037037;0,980246913580247;0,967901234567901;0,930864197530864;0,730864197530864;0,841975308641975;0,155555555555556;0,037037037037037;0,172839506172839;0,281481481481481;0,0740740740740741;0,00246913580246914;0;49,6560548884196;81,0599910518385;405
